t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.1	-
0.20	7	0	0	23.8	-
0.41	7	1	1	24.5	193.62.193.80:1
0.62	7	1	1	24.9	193.62.193.80:1
0.83	10	0	0	27.0	-
1.04	10	1	1	27.0	193.62.193.165:1
1.24	10	1	1	27.0	193.62.193.165:1
1.45	10	1	1	27.0	193.62.193.165:1
1.66	10	1	1	27.0	193.62.193.165:1
1.87	10	1	1	27.0	193.62.193.165:1
2.07	10	2	1	27.0	193.62.193.165:1
2.28	10	2	1	27.0	193.62.193.165:1
2.49	7	0	0	18.8	-
2.70	7	1	1	18.8	193.62.193.165:1
2.91	7	1	1	18.8	193.62.193.165:1
3.11	7	1	1	18.8	193.62.193.165:1
3.32	7	1	1	18.8	193.62.193.165:1
3.53	7	1	1	18.8	193.62.193.165:1
3.73	7	2	1	18.8	193.62.193.165:1
3.94	7	0	0	24.0	-
4.15	7	1	1	24.6	193.62.193.80:1
4.36	7	1	1	25.1	193.62.193.80:1
4.57	10	0	0	27.4	-
4.78	10	1	1	27.4	193.62.193.165:1
4.99	10	1	1	27.4	193.62.193.165:1
5.19	10	1	1	27.4	193.62.193.165:1
5.40	10	1	1	27.4	193.62.193.165:1
5.61	10	1	1	27.4	193.62.193.165:1
5.82	10	2	1	27.4	193.62.193.165:1
6.03	10	2	1	27.4	193.62.193.165:1
6.23	7	0	0	19.2	-
6.44	7	1	1	19.2	193.62.193.165:1
6.65	7	1	1	19.2	193.62.193.165:1
6.86	7	1	1	19.2	193.62.193.165:1
7.07	7	1	1	19.2	193.62.193.165:1
7.27	7	2	1	19.2	193.62.193.165:1
7.48	7	2	1	19.3	193.62.193.165:1
7.69	7	1	1	24.7	193.62.193.80:1
7.90	7	1	1	25.1	193.62.193.80:1
8.10	7	1	1	25.1	193.62.193.80:1
8.31	10	1	1	27.3	193.62.193.165:1
8.52	10	1	1	27.3	193.62.193.165:1
8.73	10	1	1	27.3	193.62.193.165:1
8.93	10	1	1	27.3	193.62.193.165:1
9.14	10	1	1	27.3	193.62.193.165:1
9.35	10	2	1	27.3	193.62.193.165:1
9.55	10	1	1	27.3	193.62.193.165:1
9.76	10	1	1	27.3	193.62.193.165:1
9.97	7	1	1	19.0	193.62.193.165:1
10.18	7	1	1	19.0	193.62.193.165:1
10.38	7	1	1	19.0	193.62.193.165:1
10.59	7	1	1	19.0	193.62.193.165:1
10.80	7	1	1	19.0	193.62.193.165:1
11.00	7	2	1	19.0	193.62.193.165:1
11.21	7	0	0	24.0	-
11.42	7	1	1	24.7	193.62.193.80:1
11.63	7	1	1	25.1	193.62.193.80:1
11.84	10	0	0	27.3	-
12.04	10	1	1	27.3	193.62.193.165:1
12.25	10	1	1	27.3	193.62.193.165:1
12.46	10	1	1	27.3	193.62.193.165:1
12.66	10	1	1	27.3	193.62.193.165:1
12.87	10	2	1	27.3	193.62.193.165:1
13.08	10	1	1	27.3	193.62.193.165:1
13.28	10	2	1	27.3	193.62.193.165:1
13.49	7	0	0	19.1	-
13.70	7	1	1	19.1	193.62.193.165:1
13.90	7	1	1	19.1	193.62.193.165:1
14.11	7	1	1	19.1	193.62.193.165:1
14.32	7	1	1	19.1	193.62.193.165:1
14.53	7	2	1	19.1	193.62.193.165:1
14.73	7	2	1	19.2	193.62.193.165:1
14.94	7	1	1	24.6	193.62.193.80:1
15.15	7	1	1	25.1	193.62.193.80:1
15.35	7	1	1	25.1	193.62.193.80:1
15.56	10	1	1	27.2	193.62.193.165:1
15.77	10	1	1	27.2	193.62.193.165:1
15.98	10	1	1	27.2	193.62.193.165:1
16.18	10	1	1	27.2	193.62.193.165:1
16.39	10	1	1	27.2	193.62.193.165:1
16.60	10	2	1	27.2	193.62.193.165:1
16.80	10	1	1	27.2	193.62.193.165:1
17.01	10	1	1	27.2	193.62.193.165:1
17.22	7	1	1	19.2	193.62.193.165:1
17.43	7	1	1	19.2	193.62.193.165:1
17.63	7	1	1	19.2	193.62.193.165:1
17.84	7	1	1	19.2	193.62.193.165:1
18.04	7	1	1	19.2	193.62.193.165:1
18.25	7	2	1	19.2	193.62.193.165:1
18.46	7	2	1	19.2	193.62.193.165:1
18.66	7	0	0	23.9	-
18.87	7	1	1	24.6	193.62.193.80:1
19.08	7	1	1	25.1	193.62.193.80:1
19.29	10	1	1	27.5	193.62.193.165:1
19.49	10	1	1	27.5	193.62.193.165:1
19.70	10	1	1	27.5	193.62.193.165:1
19.91	10	1	1	27.5	193.62.193.165:1
20.12	10	1	1	27.5	193.62.193.165:1
20.33	10	2	1	27.5	193.62.193.165:1
20.53	10	1	1	27.5	193.62.193.165:1
20.74	10	1	1	27.5	193.62.193.165:1
20.95	7	0	0	19.1	-
21.15	7	1	1	19.1	193.62.193.165:1
21.36	7	1	1	19.1	193.62.193.165:1
21.57	7	1	1	19.1	193.62.193.165:1
21.77	7	1	1	19.1	193.62.193.165:1
21.98	7	2	1	19.1	193.62.193.165:1
22.19	7	2	1	19.1	193.62.193.165:1
22.40	7	1	1	24.5	193.62.193.80:1
22.60	7	1	1	25.1	193.62.193.80:1
22.81	6	0	0	14.4	-
23.01	10	1	1	27.4	193.62.193.165:1
23.22	10	1	1	27.4	193.62.193.165:1
23.43	10	1	1	27.4	193.62.193.165:1
23.64	10	1	1	27.4	193.62.193.165:1
23.85	10	1	1	27.4	193.62.193.165:1
24.05	10	2	1	27.4	193.62.193.165:1
24.26	10	2	1	27.4	193.62.193.165:1
24.47	6	0	0	14.4	-
24.67	7	1	1	19.1	193.62.193.165:1
24.88	7	1	1	19.1	193.62.193.165:1
25.09	7	1	1	19.1	193.62.193.165:1
25.30	7	1	1	19.1	193.62.193.165:1
25.50	7	1	1	19.1	193.62.193.165:1
25.71	7	2	1	19.2	193.62.193.165:1
25.92	7	0	0	23.7	-
26.13	7	1	1	24.4	193.62.193.80:1
26.33	7	1	1	24.4	193.62.193.80:1
26.54	10	0	0	27.6	-
26.75	10	1	1	27.6	193.62.193.165:1
26.96	10	1	1	27.6	193.62.193.165:1
27.16	10	1	1	27.6	193.62.193.165:1
27.37	10	1	1	27.6	193.62.193.165:1
27.58	10	2	1	27.6	193.62.193.165:1
27.78	10	1	1	27.6	193.62.193.165:1
27.99	10	1	1	27.6	193.62.193.165:1
28.20	7	0	0	19.2	-
28.41	7	1	1	19.2	193.62.193.165:1
28.62	7	1	1	19.2	193.62.193.165:1
28.82	7	1	1	19.2	193.62.193.165:1
29.03	7	1	1	19.2	193.62.193.165:1
29.24	7	2	1	19.2	193.62.193.165:1
29.44	7	2	1	19.3	193.62.193.165:1
29.65	7	0	0	23.9	-
29.86	7	1	1	24.6	193.62.193.80:1
30.07	7	1	1	25.0	193.62.193.80:1
30.28	10	0	0	27.3	-
30.48	10	1	1	27.3	193.62.193.165:1
30.69	10	1	1	27.3	193.62.193.165:1
30.90	10	1	1	27.3	193.62.193.165:1
31.11	10	1	1	27.3	193.62.193.165:1
31.32	10	2	1	27.3	193.62.193.165:1
31.53	10	1	1	27.3	193.62.193.165:1
31.73	10	1	1	27.3	193.62.193.165:1
31.94	7	0	0	19.2	-
32.15	7	1	1	19.2	193.62.193.165:1
32.36	7	1	1	19.2	193.62.193.165:1
32.56	7	1	1	19.2	193.62.193.165:1
32.77	7	1	1	19.2	193.62.193.165:1
32.98	7	2	1	19.2	193.62.193.165:1
33.19	7	0	0	23.9	-
33.39	7	1	1	24.6	193.62.193.80:1
33.60	7	1	1	25.0	193.62.193.80:1
33.81	10	0	0	27.3	-
34.02	10	1	1	27.3	193.62.193.165:1
34.23	10	1	1	27.3	193.62.193.165:1
34.44	10	1	1	27.3	193.62.193.165:1
34.64	10	1	1	27.3	193.62.193.165:1
34.85	10	1	1	27.3	193.62.193.165:1
35.06	10	2	1	27.3	193.62.193.165:1
35.27	10	2	1	27.3	193.62.193.165:1
35.48	7	0	0	19.1	-
35.69	7	1	1	19.1	193.62.193.165:1
35.90	7	1	1	19.1	193.62.193.165:1
36.10	7	1	1	19.1	193.62.193.165:1
36.31	7	1	1	19.1	193.62.193.165:1
36.52	7	2	1	19.1	193.62.193.165:1
36.72	7	2	1	19.1	193.62.193.165:1
36.93	7	1	1	24.6	193.62.193.80:1
37.14	7	1	1	25.0	193.62.193.80:1
37.35	7	1	1	25.0	193.62.193.80:1
37.56	10	1	1	27.3	193.62.193.165:1
37.76	10	1	1	27.3	193.62.193.165:1
37.97	10	1	1	27.3	193.62.193.165:1
38.18	10	1	1	27.3	193.62.193.165:1
38.39	10	1	1	27.3	193.62.193.165:1
38.59	10	2	1	27.3	193.62.193.165:1
38.80	10	2	1	27.3	193.62.193.165:1
39.01	10	1	1	27.3	193.62.193.165:1
39.22	7	1	1	19.0	193.62.193.165:1
39.43	7	1	1	19.0	193.62.193.165:1
39.63	7	1	1	19.0	193.62.193.165:1
39.84	7	1	1	19.0	193.62.193.165:1
40.05	7	1	1	19.0	193.62.193.165:1
40.26	7	2	1	19.0	193.62.193.165:1
40.47	7	0	0	23.8	-
40.67	7	1	1	24.5	193.62.193.80:1
40.88	7	1	1	25.0	193.62.193.80:1
41.09	10	0	0	27.5	-
